title_en,year,rating,genre,synopsis
The Lord of the Rings: The Return of the King,2003,9.0,Adventure Epic,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Howl's Moving Castle,2004,8.2,Adventure Epic,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
The Incredibles,2004,8.0,Computer Animation,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
Hotel Rwanda,2004,8.1,Docudrama,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Downfall,2004,8.2,Docudrama,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Before Sunset,2004,8.1,Drama,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Eternal Sunshine of the Spotless Mind,2004,8.3,Dark Romance,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Million Dollar Baby,2004,8.1,Boxing,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
My Father and My Son,2005,8.2,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
V for Vendetta,2005,8.1,Dystopian Sci-Fi,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Batman Begins,2005,8.2,Action Epic,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
The Lives of Others,2006,8.4,Political Thriller,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
